FECHA,COD_DIA VISITA,DIA VISITA,COD SEMANAL,SEMANAL,COD QUINCENAL,QUINCENAL ,COD MENSUAL,MENSUAL
1/1/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
2/1/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
3/1/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
4/1/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
5/1/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
6/1/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
7/1/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
8/1/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
9/1/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
10/1/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
11/1/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
12/1/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
13/01/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
14/01/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
15/01/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
16/01/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
17/01/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
18/01/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
19/01/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
20/01/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
21/01/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
22/01/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
23/01/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
24/01/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
25/01/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
26/01/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
27/01/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
28/01/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
29/01/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
30/01/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
31/01/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
1/2/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
2/2/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
3/2/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
4/2/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
5/2/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
6/2/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
7/2/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
8/2/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
9/2/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
10/2/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
11/2/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
12/2/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
13/02/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
14/02/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
15/02/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
16/02/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
17/02/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
18/02/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
19/02/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
20/02/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
21/02/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
22/02/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
23/02/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
24/02/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
25/02/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
